Title,Director,IMdB Rating,Rating,Runtime,Release Date,Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Actor,Actor7,Actor8,Actor9,Writer,Writer10,Writer11,Writer12,Writer13,Writer14,Writer15,Writer16,Writer17,,,
Taking Lives,D.J. Caruso,6.2,R,103 min,19-Mar-04,Crime, Drama, Mystery, Thriller,,,Angelina Jolie, Ethan Hawke, Kiefer Sutherland, Gena Rowlands,Michael Pye (novel), Jon Bokenkamp (screen story), Jon Bokenkamp (screenplay),,,,,,,,,
Care Bears Movie II: A New Generation,Dale Schott,5.4,G,76 min,21-Mar-86,Animation, Adventure, Comedy, Family, Fantasy, Musical,Hadley Kay, Chris Wiggins, Cree Summer, Alyson Court,Peter Sauder,,,,,,,,,,,
"Abraxas,  Guardian of the Universe",Damian Lee,2.7,R,90 min,1-Mar-91,Action, Sci-Fi,,,,,Jesse Ventura, Sven-Ole Thorsen, Damian Lee, Jerry Levitan,Damian Lee,,,,,,,,,,,
Dirty Grandpa,Dan Mazer,5.9,R,102 min,22-Jan-16,Comedy,,,,,,Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza,John Phillips,,,,,,,,,,,
Silver Bullet,Daniel Attias,6.4,R,95 min,11-Oct-85,Horror,,,,,,Gary Busey, Everett McGill, Corey Haim, Megan Follows,Stephen King (novel), Stephen King (screenplay),,,,,,,,,,
The Glass House,Daniel Sackheim,5.8,PG-13,106 min,14-Sep-01,Crime, Drama, Mystery,,,,Leelee Sobieski, Diane Lane, Stellan Skarsgård, Bruce Dern,Wesley Strick,,,,,,,,,,,
Rookie of the Year,Daniel Stern,6,PG,103 min,7-Jul-93,Comedy, Family, Fantasy, Sport,,,Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton,Sam Harper,,,,,,,,,,,
The Wrong Guys,Danny Bilson,5,PG,86 min,13-May-88,Comedy,,,,,,Louie Anderson, Richard Lewis, Richard Belzer, Franklyn Ajaye,Paul De Meo, Danny Bilson,,,,,,,,,,
Judge Dredd,Danny Cannon,5.5,R,96 min,30-Jun-95,Action, Crime, Sci-Fi, Thriller,,,Sylvester Stallone, Armand Assante, Rob Schneider, Jürgen Prochnow,John Wagner (characters), Carlos Ezquerra (characters), Michael De Luca (story), William Wisher (story), William Wisher (screenplay),,,,,,,
I Still Know What You Did Last Summer,Danny Cannon,4.6,R,100 min,13-Nov-98,Horror, Mystery,,,,,Jennifer Love Hewitt, Freddie Prinze Jr., Brandy Norwood, Mekhi Phifer,Lois Duncan (characters), Trey Callaway,,,,,,,,,,
Killer Workout,David A. Prior,4.9,R,85 min,16-Apr-87,Horror,,,,,,Marcia Karr, David Campbell, Fritz Matthews, Ted Prior,David A. Prior,,,,,,,,,,,
Suicide Squad,David Ayer,6.1,PG-13,123 min,5-Aug-16,Action, Adventure, Fantasy, Sci-Fi,,,Will Smith, Jaime FitzSimons, Ike Barinholtz, Margot Robbie,David Ayer,,,,,,,,,,,
Bright,David Ayer,6.4,TV-MA,117 min,22-Dec-17,Action, Crime, Fantasy, Thriller,,,Will Smith, Joel Edgerton, Noomi Rapace, Edgar Ramírez,Max Landis,,,,,,,,,,,
Sabotage,David Ayer,5.7,R,109 min,28-Mar-14,Action, Crime, Drama, Thriller,,,Arnold Schwarzenegger, Sam Worthington, Joe Manganiello, Josh Holloway,Skip Woods, David Ayer,,,,,,,,,,
Collateral Beauty,David Frankel,6.8,PG-13,97 min,16-Dec-16,Drama, Romance,,,,,Will Smith, Edward Norton, Kate Winslet, Michael Peña,Allan Loeb,,,,,,,,,,,
Kill Crazy,David Heavener,5.2,R,94 min,21-Nov-90,Action,,,,,,David Heavener, Rachelle Carson, Steve DeVorkin, Danielle Brisebois,David Heavener,,,,,,,,,,,
Inspector Gadget,David Kellogg,4.1,PG,78 min,23-Jul-99,Action, Adventure, Comedy, Family, Sci-Fi,,Matthew Broderick, Rupert Everett, Joely Fisher, Michelle Trachtenberg,Andy Heyward (characters), Jean Chalopin (characters), Bruno Bianchi (characters), Dana Olsen (story), Kerry Ehrin (story),,,,,,,
Secret Window,David Koepp,6.6,PG-13,96 min,12-Mar-04,Drama, Mystery, Thriller,,,,Johnny Depp, John Turturro, Maria Bello, Timothy Hutton,Stephen King (novel), David Koepp (screenplay),,,,,,,,,,
