Title,Director,Director2,Episode,IMDb,Rating,Runtime,Release Date,Genre,Genre3,Genre4,Genre5,Genre6,Genre7,Actor,Actor8,Actor9,Actor10,Writer,Writer11,Writer12,Writer13,,,,,
Free Enterprise,Robert Meyer Burnett,,53,7,R,113,1999-06-04,Comedy, Romance,,,,,Eric McCormack, Carl Bressler, Ethan Glazer, Phyllis Franklin,Mark A. Altman, Robert Meyer Burnett,,,,,,,
Gymkata,Robert Clouse,,54,4.3,R,90,1985-05-03,Action, Drama,,,,,Kurt Thomas, Tetchie Agbayani, Richard Norton, Edward Bell,Charles Robert Carner screenplay by, Dan Tyler Moore based on the novel &quot;The Terrible Game&quot; by,,,,,,,
Rocky IV,Sylvester Stallone,,55,6.8,PG,91,1985-11-27,Drama, Sport,,,,,Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers,Sylvester Stallone,,,,,,,,
The Glass House,Daniel Sackheim,,57,5.8,PG-13,106,2001-09-14,Crime, Drama, Mystery,,,,Leelee Sobieski, Diane Lane, Stellan Skarsgård, Bruce Dern,Wesley Strick,,,,,,,,
Undercover Blues,Herbert Ross,,58,6,PG-13,90,1993-09-10,Comedy, Crime,,,,,Kathleen Turner, Dennis Quaid, Fiona Shaw, Stanley Tucci,Ian Abrams,,,,,,,,
The New Adventures of Pippi Longstocking,Ken Annakin,,59,5.9,G,100,1988-07-29,Adventure, Family, Fantasy, Musical,,,Tami Erin, David Seaman, Cory Crow, Eileen Brennan,Astrid Lindgren books, Ken Annakin,,,,,,,
The Skulls,Rob Cohen,,60,5.6,PG-13,106,2000-03-31,Action, Crime, Drama, Thriller,,,Joshua Jackson, Paul Walker, Hill Harper, Leslie Bibb,John Pogue,,,,,,,,
Men in Black II,Barry Sonnenfeld,,61,6.1,PG-13,88,2002-07-03,Action, Adventure, Comedy, Mystery, Sci-Fi,,Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle,Lowell Cunningham comic book &quot;Malibu Comics&quot;, Robert Gordon story, Robert Gordon screenplay, Barry Fanaro screenplay,,,,,
Cocoon,Ron Howard,,62,6.7,PG-13,117,1985-06-21,Comedy, Drama, Sci-Fi,,,,Don Ameche, Wilford Brimley, Hume Cronyn, Brian Dennehy,Tom Benedek screenplay, David Saperstein story,,,,,,,
Jaws: The Revenge,Joseph Sargent,,63,2.9,PG-13,89,1987-07-17,Adventure, Horror, Thriller,,,,Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young,Peter Benchley characters, Michael De Guzman,,,,,,,
The Next Karate Kid,Christopher Cain,,64,4.4,PG,107,1994-09-09,Action, Drama, Family, Romance, Sport,,Pat Morita, Hilary Swank, Michael Ironside, Constance Towers,Robert Mark Kamen characters, Mark Lee,,,,,,,
Nine Months,Chris Columbus,,65,5.5,PG-13,103,1995-07-12,Comedy, Romance,,,,,Hugh Grant, Julianne Moore, Tom Arnold, Joan Cusack,Patrick Braoudé film &quot;Neuf mois&quot;, Chris Columbus screenplay,,, Zak Penn screenplay,,,,
Inspector Gadget,David Kellogg,,66,4.1,PG,78,1999-07-23,Action, Adventure, Comedy, Family, Sci-Fi,,Matthew Broderick, Rupert Everett, Joely Fisher, Michelle Trachtenberg,Andy Heyward characters, Jean Chalopin characters, Bruno Bianchi characters, Dana Olsen story,,,,,
Spawn,Mark A.Z. Dippé,,67,5.2,R,96,1997-08-01,Action, Horror,,,,,Michael Jai White, John Leguizamo, Martin Sheen, Theresa Randle,Todd McFarlane comic book, Alan B. McElroy screen story, Mark A.Z. Dippé screen story, Alan B. McElroy screenplay,,,,,
Reign of Fire,Rob Bowman,,68,6.2,PG-13,101,2002-07-12,Action, Adventure, Fantasy, Sci-Fi, Thriller,,Christian Bale, Matthew McConaughey, Izabella Scorupco, Gerard Butler,Gregg Chabot story, Kevin Peterka story, Gregg Chabot screenplay, Kevin Peterka screenplay,,,,,
Twister,Jan de Bont,,69,6.3,PG-13,113,1996-05-10,Action, Adventure, Drama, Thriller,,,Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz,Michael Crichton, Anne-Marie Martin,,,,,,,
Kill Crazy,David Heavener,,70,5.2,R,94,1990-11-21,Action,,,,,,David Heavener, Rachelle Carson, Steve DeVorkin, Danielle Brisebois,David Heavener,,,,,,,,
Dracula 2000,Patrick Lussier,,72,4.9,R,99,2000-12-22,Action, Fantasy, Horror, Thriller,,,Gerard Butler, Christopher Plummer, Jonny Lee Miller, Justine Waddell,Joel Soisson story, Patrick Lussier story, Joel Soisson screenplay,,,,,,
Invisible Child,Joan Micklin Silver,,74,5,NOT RATED,120,1999-03-08,Drama,,,,,,Rita Wilson, Victor Garber, Tushka Bergen, Mae Whitman,Ronald Bass story, David Field story, David Field teleplay,,,,,,
Perfect Stranger,James Foley,,75,5.7,R,109,2007-04-13,Crime, Drama, Horror, Mystery, Thriller,,Halle Berry, Bruce Willis, Giovanni Ribisi, Richard Portnow,Todd Komarnicki screenplay, Jon Bokenkamp story,,,,,,,
Never Too Young to Die,Gil Bettman,,76,5,R,92,1986-06-13,Action, Adventure, Comedy,,,,John Stamos, Vanity, Gene Simmons, George Lazenby,Steven Paul story, Stuart Paul story, Steven Paul screenplay, Anthony Foutz screenplay,,,,,
Heart Condition,James D. Parriott,,77,5.6,R,100,1990-02-02,Comedy, Crime, Drama, Fantasy,,,Bob Hoskins, Denzel Washington, Chloe Webb, Roger E. Mosley,James D. Parriott,,,,,,,,
Silver Bullet,Daniel Attias,,78,6.4,R,95,1985-10-11,Horror,,,,,,Gary Busey, Everett McGill, Corey Haim, Megan Follows,Stephen King novel, Stephen King screenplay,,,,,,,
Ghost in the Machine,Rachel Talalay,,79,4.4,R,95,1993-12-29,Horror, Sci-Fi, Thriller,,,,Karen Allen, Chris Mulkey, Ted Marcoux, Wil Horneff,William Davies, William Osborne,,,,,,,
New Beginnings: The Making of Friday the 13th Part V - A New Beginning,N/A,,80,8,N/A,11,2009-06-16,Short,,,,,,Michael Felsher, Tiffany Helm, Harry Manfredini, Tom Morga,N/A,,,,,,,,
Bordello of Blood,Gilbert Adler,,81,5.3,R,87,1996-08-16,Comedy, Fantasy, Horror,,,,John Kassir, Dennis Miller, Erika Eleniak, Angie Everhart,William M. Gaines comic books &quot;Tales From the Crypt&quot;, Bob Gale story, Robert Zemeckis story, A L Katz screenplay,,,,,
Bless the Child,Chuck Russell,,82,5.1,R,107,2000-08-11,Crime, Drama, Horror,,,,Kim Basinger, Jimmy Smits, Holliston Coleman, Rufus Sewell,Cathy Cash Spellman novel, Thomas Rickman screenplay, Clifford Green screenplay, Ellen Green screenplay,,,,,
K-911,Charles T. Kanganis,,83,5.7,PG-13,91,1999-12-12,Action, Comedy, Crime,,,,Jim Belushi, Christine Tucci, James Handy, Wade Williams,Steven Siegel characters, Scott Myers characters, Gary Scott Thompson,,,,,,
Die Another Day,Lee Tamahori,,84,6.1,PG-13,133,2002-11-22,Action, Adventure, Thriller,,,,Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike,Ian Fleming characters, Neal Purvis, Robert Wade,,,,,,
Madhouse,William Butler,,85,5.6,R,91,2004-07-30,Horror, Thriller,,,,,Joshua Leonard, Jordan Ladd, Natasha Lyonne, Lance Henriksen,William Butler story and screenplay, Aaron Strongoni story,,,,,,,
Star Trek: Insurrection,Jonathan Frakes,,86,6.4,PG,103,1998-12-11,Action, Adventure, Sci-Fi, Thriller,,,Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton,Gene Roddenberry creator: &quot;Star Trek&quot;, Rick Berman story, Michael Piller story, Michael Piller screenplay,,,,,
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,,87,6.2,PG-13,122,2008-05-22,Action, Adventure, Fantasy,,,,Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf,David Koepp screenplay, George Lucas story, Jeff Nathanson story, George Lucas characters,,,,,
Eight Crazy Nights,Seth Kearsley,,88,5.3,PG-13,76,2002-11-27,Animation, Comedy, Musical,,,,Adam Sandler, Jackie Sandler, Austin Stout, Kevin Nealon,Brooks Arthur, Allen Covert, Brad Isaacs, Adam Sandler,,,,,
The Rapture,Michael Tolkin,,89,6.4,R,100,1991-10-04,Drama, Mystery,,,,,Mimi Rogers, Darwyn Carson, Patrick Bauchau, Marvin Elkins,Michael Tolkin,,,,,,,,
One Magic Christmas,Phillip Borsos,,90,6.6,G,89,1985-11-22,Family, Fantasy,,,,,Mary Steenburgen, Gary Basaraba, Harry Dean Stanton, Arthur Hill,Thomas Meehan story, Phillip Borsos story, Barry Healey story, Thomas Meehan,,,,,
Step Up Revolution,Scott Speer,,91,6.5,PG-13,99,2012-07-27,Drama, Music, Romance,,,,Cleopatra Coleman, Ryan Guzman, Misha Gabriel Hamilton, Michael 'Xeno' Langebeck,Amanda Brody, Duane Adler characters,,,,,,,
The Raven,James McTeigue,,92,6.4,R,110,2012-04-27,Crime, Mystery, Thriller,,,,John Cusack, Luke Evans, Alice Eve, Brendan Gleeson,Hannah Shakespeare, Ben Livingston,,,,,,,
Alex Cross,Rob Cohen,,93,5.1,PG-13,101,2012-10-19,Action, Crime, Mystery, Thriller,,,Tyler Perry, Edward Burns, Matthew Fox, Jean Reno,Marc Moss screenplay, Kerry Williamson screenplay, James Patterson based on the novel &quot;Cross&quot; by,,,,,,
